feature,coefficient,abs_coeff
HasFiber,0.8975064600846042,0.8975064600846042
InternetService_Fiber optic,0.8975064600846042,0.8975064600846042
IsMonthToMonth,0.6613898159504547,0.6613898159504547
Contract_Two year,-0.6544163476709592,0.6544163476709592
StreamingTV_Yes,0.4698130346475302,0.4698130346475302
StreamingMovies_Yes,0.42928643716552517,0.42928643716552517
OnlineSecurity_Yes,-0.4270252233451312,0.4270252233451312
TechSupport_Yes,-0.42137226827488844,0.42137226827488844
PaperlessBilling_Yes,0.3266716904939458,0.3266716904939458
MultipleLines_Yes,0.323732998359183,0.323732998359183
Dependents_Yes,-0.25559593257894697,0.25559593257894697
TechSupport_No internet service,-0.25136807880886974,0.25136807880886974
StreamingMovies_No internet service,-0.25136807880886974,0.25136807880886974
StreamingTV_No internet service,-0.25136807880886974,0.25136807880886974
DeviceProtection_No internet service,-0.25136807880886974,0.25136807880886974
OnlineBackup_No internet service,-0.25136807880886974,0.25136807880886974
OnlineSecurity_No internet service,-0.25136807880886974,0.25136807880886974
InternetService_No,-0.25136807880886974,0.25136807880886974
SeniorCitizen,0.195218200950706,0.195218200950706
ServicesCount,0.1929335667852588,0.1929335667852588
OnlineBackup_Yes,-0.1880202325210078,0.1880202325210078
PaymentMethod_Electronic check,0.17536071425167285,0.17536071425167285
IsElectronicCheck,0.17536071425167285,0.17536071425167285
PaymentMethod_Mailed check,0.1392270308861142,0.1392270308861142
MonthlyRevenue,-0.03516558802343039,0.03516558802343039
gender_Male,-0.033908091143830615,0.033908091143830615
TenureMonths,-0.032866831895219314,0.032866831895219314
Contract_One year,-0.015701668527014778,0.015701668527014778
Partner_Yes,0.01202614633354734,0.01202614633354734
DeviceProtection_Yes,0.011067190726413401,0.011067190726413401
PhoneService_Yes,-0.004548369971906634,0.004548369971906634
MultipleLines_No phone service,-0.004179830274802957,0.004179830274802957
PaymentMethod_Credit card (automatic),0.004085105584356351,0.004085105584356351
